Item_Weight,Item_Visibility,Item_MRP,Item_Outlet_Sales,Item_Visibility_MeanRatio,Outlet_Years,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
12.3,0.076987408,247.946,3202.498,0.9348909881972174,16,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
11.3,0.007279889,199.3426,2372.9112,1.0115581631567945,26,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
8.155,0.033555399,74.7354,1655.1788,0.9990697529635134,26,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
5.78,0.074149074,262.2568,5273.136,0.8719076710684417,26,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
15.15,0.012288171,129.9284,2241.0828,0.8731325796643717,21,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
15.6,0.195688803,77.367,153.134,1.46411666476161,25,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
7.535,0.081787519,120.844,2157.192,0.9123993889632451,26,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
7.275,0.048932713,144.476,146.476,1.6628340817077263,38,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20.6,0.048207431,188.0556,2065.3116,0.8796766091934973,16,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
12.8,0.070012633,262.8252,2885.5772,0.8796766166512864,16,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
5.11,0.034874689,161.721,2446.815,0.9593544886852489,26,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
8.06,0.02060989766666667,232.7326,3696.5216,0.9000000000000001,14,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
12.8,0.079523619,181.7608,4961.5416,0.8759574897683723,16,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
12.85,0.026379497666666668,254.704,2530.04,0.8181818181818182,19,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
16.6,0.016197216,108.8596,970.7364,0.8740008844034985,36,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
7.36,0.087559621,55.2588,229.0352,1.5615780483867765,25,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
20.85,0.062224479,88.1514,1682.4766,0.922289914382815,26,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
